Country,Year,Population
Germany,2020,83160871
Germany,2019,83092962
Germany,2018,82905782
Germany,2017,82657002
Germany,2016,82348669
Germany,2015,81686611
Germany,2014,80982500
Germany,2013,80645605
Germany,2012,80425823
Germany,2011,80274983
Germany,2010,81776930
Germany,2009,81902307
Germany,2008,82110097
Germany,2007,82266372
Germany,2006,82376451
Germany,2005,82469422
Germany,2004,82516260
Germany,2003,82534176
Germany,2002,82488495
Germany,2001,82349925
Germany,2000,82211508
Germany,1999,82100243
Germany,1998,82047195
Germany,1997,82034771
Germany,1996,81914831
Germany,1995,81678051
Germany,1994,81438348
Germany,1993,81156363
Germany,1992,80624598
Germany,1991,80013896
Germany,1990,79433029
Germany,1989,78751283
Germany,1988,78144619
Germany,1987,77839920
Germany,1986,77720436
Germany,1985,77684873
Germany,1984,77858685
Germany,1983,78128282
Germany,1982,78333366
Germany,1981,78407907
Germany,1980,78288576
Germany,1979,78126350
Germany,1978,78091820
Germany,1977,78159814
Germany,1976,78336950
Germany,1975,78673554
Germany,1974,78967433
Germany,1973,78936666
Germany,1972,78688452
Germany,1971,78312842
Germany,1970,78169289
France,2020,67601110
France,2019,67382061
France,2018,67158348
France,2017,66918020
France,2016,66724104
France,2015,66548272
France,2014,66312067
France,2013,65997932
France,2012,65657659
France,2011,65340830
France,2010,65026211
France,2009,64706436
France,2008,64375116
France,2007,64016890
France,2006,63622342
France,2005,63180854
France,2004,62707588
France,2003,62249855
France,2002,61812142
France,2001,61364377
France,2000,60918661
France,1999,60501986
France,1998,60190684
France,1997,59968066
France,1996,59754504
France,1995,59541294
France,1994,59324863
France,1993,59103094
France,1992,58846584
France,1991,58554242
France,1990,58261012
France,1989,57943062
France,1988,57598186
France,1987,57266167
France,1986,56956002
France,1985,56665619
France,1984,56383085
France,1983,56108330
France,1982,55806789
France,1981,55603353
France,1980,55274184
France,1979,54979851
France,1978,54734030
France,1977,54486467
France,1976,54232383
France,1975,54002853
France,1974,53746571
France,1973,53392161
France,1972,52962356
France,1971,52499553
France,1970,52007169
United Kingdom,2020,66744000
United Kingdom,2019,66631000
United Kingdom,2018,66289000
United Kingdom,2017,65966000
United Kingdom,2016,65607000
United Kingdom,2015,65088000
United Kingdom,2014,64620000
United Kingdom,2013,64139000
United Kingdom,2012,63711000
United Kingdom,2011,63258810
United Kingdom,2010,62766365
United Kingdom,2009,62276270
United Kingdom,2008,61806995
United Kingdom,2007,61322463
United Kingdom,2006,60846820
United Kingdom,2005,60401206
United Kingdom,2004,59987905
United Kingdom,2003,59647577
United Kingdom,2002,59370479
United Kingdom,2001,59119673
United Kingdom,2000,58892514
United Kingdom,1999,58682466
United Kingdom,1998,58487141
United Kingdom,1997,58316954
United Kingdom,1996,58166950
United Kingdom,1995,58019030
United Kingdom,1994,57865745
United Kingdom,1993,57718614
United Kingdom,1992,57580402
United Kingdom,1991,57424897
United Kingdom,1990,57247586
United Kingdom,1989,57076711
United Kingdom,1988,56928327
United Kingdom,1987,56802050
United Kingdom,1986,56681396
United Kingdom,1985,56550268
United Kingdom,1984,56422072
United Kingdom,1983,56332848
United Kingdom,1982,56313641
United Kingdom,1981,56333829
United Kingdom,1980,56314216
United Kingdom,1979,56246951
United Kingdom,1978,56196504
United Kingdom,1977,56193492
United Kingdom,1976,56211968
United Kingdom,1975,56225800
United Kingdom,1974,56229974
United Kingdom,1973,56194527
United Kingdom,1972,56086065
United Kingdom,1971,55896223
United Kingdom,1970,55663250
Japan,2020,126261000
Japan,2019,126633000
Japan,2018,126811000
Japan,2017,126972000
Japan,2016,127076000
Japan,2015,127141000
Japan,2014,127276000
Japan,2013,127445000
Japan,2012,127629000
Japan,2011,127833000
Japan,2010,128070000
Japan,2009,128047000
Japan,2008,128063000
Japan,2007,128001000
Japan,2006,127854000
Japan,2005,127773000
Japan,2004,127761000
Japan,2003,127718000
Japan,2002,127445000
Japan,2001,127149000
Japan,2000,126843000
Japan,1999,126631000
Japan,1998,126400000
Japan,1997,126057000
Japan,1996,125757000
Japan,1995,125472000
Japan,1994,125178000
Japan,1993,124829000
Japan,1992,124425000
Japan,1991,123964000
Japan,1990,123478000
Japan,1989,123069000
Japan,1988,122578000
Japan,1987,122069000
Japan,1986,121482000
Japan,1985,120837000
Japan,1984,120083000
Japan,1983,119307000
Japan,1982,118480000
Japan,1981,117661000
Japan,1980,116807000
Japan,1979,115890000
Japan,1978,114913000
Japan,1977,113872000
Japan,1976,112775000
Japan,1975,111573000
Japan,1974,110162000
Japan,1973,108707000
Japan,1972,107188000
Japan,1971,105697000
Japan,1970,103403000
United States,2020,331577720
United States,2019,330226227
United States,2018,328529577
United States,2017,326608609
United States,2016,324353340
United States,2015,321815121
United States,2014,319257560
United States,2013,316726282
United States,2012,314339099
United States,2011,311839461
United States,2010,309378227
United States,2009,306771529
United States,2008,304093966
United States,2007,301231207
United States,2006,298379912
United States,2005,295516599
United States,2004,292805298
United States,2003,290107933
United States,2002,287625193
United States,2001,284968955
United States,2000,282162411
United States,1999,279040000
United States,1998,275854000
United States,1997,272657000
United States,1996,269394000
United States,1995,266278000
United States,1994,263126000
United States,1993,259919000
United States,1992,256514000
United States,1991,252981000
United States,1990,249623000
United States,1989,246819000
United States,1988,244499000
United States,1987,242289000
United States,1986,240133000
United States,1985,237924000
United States,1984,235825000
United States,1983,233792000
United States,1982,231664000
United States,1981,229466000
United States,1980,227225000
United States,1979,225055000
United States,1978,222585000
United States,1977,220239000
United States,1976,218035000
United States,1975,215973000
United States,1974,213854000
United States,1973,211909000
United States,1972,209896000
United States,1971,207661000
